severity,method,nx,cell_index,z_left_cm,z_center_cm,z_right_cm,r_left_cm,r_center_cm,r_right_cm,dx_cm
50,fv-muscl-minmod,400,330,4.935,4.9425,4.95,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,331,4.95,4.9575,4.965,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,332,4.965,4.9725,4.98,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,333,4.98,4.9875,4.995,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,334,4.995,5.0025,5.01,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,335,5.01,5.0175,5.025,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,336,5.025,5.0325,5.04,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,337,5.04,5.0475,5.055,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,338,5.055,5.0625,5.07,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,339,5.07,5.0775,5.085,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,340,5.085,5.0925,5.1,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,341,5.1,5.1075,5.115,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,342,5.115,5.1225,5.13,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,343,5.13,5.1375,5.145,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,344,5.145,5.1525,5.16,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,345,5.16,5.1675,5.175,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,346,5.175,5.1825,5.19,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,347,5.19,5.1975,5.205,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,348,5.205,5.2125,5.22,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,349,5.22,5.2275,5.235,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,350,5.235,5.2425,5.25,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,351,5.25,5.2575,5.265,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,352,5.265,5.2725,5.28,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,353,5.28,5.2875,5.295,0.18,0.18,0.18,0.015
