severity,slice_label,z_cm,theta_rad,x_cm,y_cm,r_cm
50,downstream,2.951,3.66519142919,-0.13668336566,-0.0789141779577,0.157828355915
50,downstream,2.951,3.75245789179,-0.129285420395,-0.0905266259411,0.157828355915
50,downstream,2.951,3.83972435439,-0.120903535016,-0.10145011164,0.157828355915
50,downstream,2.951,3.92699081699,-0.111601500731,-0.111601500731,0.157828355915
50,downstream,2.951,4.01425727959,-0.10145011164,-0.120903535016,0.157828355915
50,downstream,2.951,4.10152374219,-0.0905266259411,-0.129285420395,0.157828355915
50,downstream,2.951,4.18879020479,-0.0789141779577,-0.13668336566,0.157828355915
50,downstream,2.951,4.27605666739,-0.0667011454303,-0.143041067981,0.157828355915
50,downstream,2.951,4.36332312999,-0.053980476911,-0.148310141404,0.157828355915
50,downstream,2.951,4.45058959259,-0.0408489843681,-0.152450485099,0.157828355915
50,downstream,2.951,4.53785605519,-0.0274066063889,-0.155430588551,0.157828355915
50,downstream,2.951,4.62512251778,-0.0137556475864,-0.157227771371,0.157828355915
50,downstream,2.951,4.71238898038,-2.8992598633e-17,-0.157828355915,0.157828355915
50,downstream,2.951,4.79965544298,0.0137556475864,-0.157227771371,0.157828355915
50,downstream,2.951,4.88692190558,0.0274066063889,-0.155430588551,0.157828355915
50,downstream,2.951,4.97418836818,0.0408489843681,-0.152450485099,0.157828355915
50,downstream,2.951,5.06145483078,0.053980476911,-0.148310141404,0.157828355915
50,downstream,2.951,5.14872129338,0.0667011454303,-0.143041067981,0.157828355915
50,downstream,2.951,5.23598775598,0.0789141779577,-0.13668336566,0.157828355915
50,downstream,2.951,5.32325421858,0.0905266259411,-0.129285420395,0.157828355915
50,downstream,2.951,5.41052068118,0.10145011164,-0.120903535016,0.157828355915
50,downstream,2.951,5.49778714378,0.111601500731,-0.111601500731,0.157828355915
50,downstream,2.951,5.58505360638,0.120903535016,-0.10145011164,0.157828355915
50,downstream,2.951,5.67232006898,0.129285420395,-0.0905266259411,0.157828355915
50,downstream,2.951,5.75958653158,0.13668336566,-0.0789141779577,0.157828355915
50,downstream,2.951,5.84685299418,0.143041067981,-0.0667011454303,0.157828355915
50,downstream,2.951,5.93411945678,0.148310141404,-0.053980476911,0.157828355915
50,downstream,2.951,6.02138591938,0.152450485099,-0.0408489843681,0.157828355915
50,downstream,2.951,6.10865238198,0.155430588551,-0.0274066063889,0.157828355915
50,downstream,2.951,6.19591884458,0.157227771371,-0.0137556475864,0.157828355915
