severity,particle_id,seed_label,sample_index,z_cm,x_cm,y_cm,r_cm,r_over_r0,t_s,ux_cm_s,uy_cm_s,uz_cm_s
73,2,theta0,88,2.18875,0.0169524494013,-2.68199284503e-05,0.0169524706168,0.177849340576,2.14130040137,-0.320426794787,-0.00207114509978,3.77822806361
73,2,theta0,89,2.21333333333,0.0149879145062,-3.69953882842e-05,0.0149879601649,0.184483269433,2.14708422704,-0.357597824649,-0.00120979167762,4.82357662325
73,2,theta0,90,2.23791666667,0.0133239514625,-3.84946810586e-05,0.0133240070705,0.190368412608,2.15158547091,-0.380817131389,0.000816363877614,6.2143744806
73,2,theta0,91,2.2625,0.011983422593,-3.16174390326e-05,0.0119834643031,0.194339963125,2.15509500868,-0.357067990115,0.00226107809757,7.86732035187
73,2,theta0,92,2.28708333333,0.0110413036905,-2.34082557347e-05,0.011041328504,0.197338638097,2.15796306439,-0.299949800081,0.00345216183766,9.25601963774
73,2,theta0,93,2.31166666667,0.010350659296,-1.39419862467e-05,0.0103506686857,0.197754020904,2.16047145148,-0.250767246931,0.00399029010948,10.3082163728
73,2,theta0,94,2.33625,0.00982610853264,-4.73472201781e-06,0.00982610967336,0.19548024261,2.16277103466,-0.205276923583,0.00393060743755,11.0243184267
73,2,theta0,95,2.36083333333,0.0094479082623,3.2176605496e-06,0.00944790881022,0.191981650794,2.16491518214,-0.142530126594,0.0032964233342,12.0482604518
73,2,theta0,96,2.38541666667,0.00922449305781,7.36614817591e-06,0.0092244959989,0.189162336614,2.16687916793,-0.0855090215385,0.000956678578719,12.9172564764
73,2,theta0,97,2.41,0.00911262887951,7.14321163872e-06,0.00911263167922,0.187409136393,2.16874805592,-0.0349044941542,-0.00119769428015,13.3144013975
73,2,theta0,98,2.43458333333,0.0090908430772,2.91182382546e-06,0.00909084354353,0.187052050796,2.17059407623,0.0104710542125,-0.0034124229406,13.2413356184
73,2,theta0,99,2.45916666667,0.00912268987152,-2.75957804866e-06,0.0091226902889,0.187709551886,2.17245185162,0.0210005947089,-0.0024213683062,13.2382909873
73,2,theta0,100,2.48375,0.00916779386888,-6.16761583111e-06,0.0091677959435,0.188605185723,2.17431376455,0.0274705602684,-0.00131471719936,13.1424498025
73,2,theta0,101,2.50833333333,0.00922589996771,-7.95036392284e-06,0.0092259033933,0.189537476999,2.17620053613,0.0341366708243,-0.000650654659803,12.8910699627
73,2,theta0,102,2.53291666667,0.00929954709982,-8.87883951276e-06,0.00929955133841,0.190164898657,2.17813522853,0.0439075734228,-0.000298770486921,12.5254437108
73,2,theta0,103,2.5575,0.0094321386409,-7.92645990032e-06,0.00943214197147,0.190838684212,2.18009883572,0.0899275739871,0.00117762312603,12.4505017319
73,2,theta0,104,2.58208333333,0.00965662996327,-4.63360706757e-06,0.00965663107496,0.191597390546,2.18210855126,0.132977808799,0.00197414248952,11.9426112018
73,2,theta0,105,2.60666666667,0.0099871320238,-1.92864549028e-07,0.00998713202566,0.192074370692,2.18424723847,0.175556076395,0.00206049865074,10.9853272762
73,2,theta0,106,2.63125,0.0104551621557,4.13450025684e-06,0.0104551629732,0.192301658417,2.18662488797,0.214211067763,0.00152423418305,9.76830972799
73,2,theta0,107,2.65583333333,0.0110466431014,7.18160823727e-06,0.0110466454358,0.191614784477,2.18925870093,0.234250649294,0.000802681859096,8.90043546425
73,2,theta0,108,2.68041666667,0.0117597375958,8.75487802841e-06,0.0117597408547,0.189877081904,2.19217768712,0.254082178423,0.00034002129865,7.94645055521
73,2,theta0,109,2.705,0.0126366327579,9.56241787418e-06,0.0126366363759,0.187887283519,2.19549069382,0.275072595742,0.000202860828874,6.9040501102
73,2,theta0,110,2.72958333333,0.0137334013921,1.00147316386e-05,0.0137334050436,0.186607620629,2.19936969805,0.275606294322,-0.00044447630896,5.81338209533
73,2,theta0,111,2.75416666667,0.0149559189667,6.47136265837e-06,0.0149559203668,0.184962849312,2.20399448161,0.253730747688,-0.000977256889225,4.87346206557
73,2,theta0,112,2.77875,0.0162909342449,1.00671544115e-06,0.016290934276,0.183258892524,2.2095025657,0.231522200305,-0.000900955691968,4.10333263233
73,2,theta0,113,2.80333333333,0.017718407112,-2.69095474064e-06,0.0177184073164,0.181726205674,2.21600260284,0.208003127068,-0.000135743942306,3.50527751668
73,2,theta0,114,2.82791666667,0.019186120112,-1.79840800478e-06,0.0191861201963,0.180264600815,2.22356767841,0.180846638555,-4.36428523331e-05,3.00074770621
73,2,theta0,115,2.8525,0.0206847175955,-3.47625503475e-06,0.0206847178876,0.179186329405,2.23245696541,0.157267586242,-0.000279060366515,2.55760077047
73,2,theta0,116,2.87708333333,0.0221982434762,-6.27699108883e-06,0.0221982443636,0.178642783602,2.24282642843,0.135457426146,-0.000209913828462,2.20807466599
73,2,theta0,117,2.90166666667,0.0236826828408,-6.70268096723e-06,0.0236826837893,0.178499366997,2.25470320762,0.115168662526,0.00018575367,1.95258588021
73,2,theta0,118,2.92625,0.0250852617517,-4.24836881251e-06,0.0250852621114,0.178546270813,2.26802803121,0.0967933772922,9.09676354231e-05,1.74375351561
73,2,theta0,119,2.95083333333,0.0264075609129,-4.11808440839e-06,0.0264075612339,0.178932312385,2.28292068311,0.0813460488021,-4.92358979874e-05,1.56709271133
73,2,theta0,120,2.97541666667,0.0276297619644,-5.16511092897e-06,0.0276297624472,0.179587041241,2.29938174849,0.067663545503,-5.4762628378e-05,1.42818370559
73,2,theta0,121,3,0.0287307648287,-5.12669634981e-06,0.0287307652861,0.180394953087,2.31727636189,0.0558610122138,8.14375837514e-05,1.32687842424
73,2,theta0,122,3.02458333333,0.0296957002304,-4.40145027897e-06,0.0296957005566,0.181250521132,2.33644591102,0.0454722789866,1.86106531964e-06,1.24153518017
73,2,theta0,123,3.04916666667,0.0305316328052,-4.77675492288e-06,0.0305316331789,0.182153851582,2.35684327126,0.0367742568903,-2.98574426916e-05,1.17225741853
73,2,theta0,124,3.07375,0.0312387020642,-5.29509948816e-06,0.0312387025129,0.183037456018,2.37833010087,0.0293109381548,-9.79890670918e-06,1.11904691212
73,2,theta0,125,3.09833333333,0.0318224022306,-4.88785958357e-06,0.0318224026059,0.183851998404,2.40070214024,0.0230597960246,3.80961894809e-05,1.08094960838
73,2,theta0,126,3.12291666667,0.0322939648331,-4.39776106298e-06,0.0322939651326,0.184574384107,2.42379587498,0.0180326875179,7.12010680215e-06,1.04930790616
73,2,theta0,127,3.1475,0.0326711332854,-4.40472920536e-06,0.0326711335823,0.185217428398,2.44752014637,0.013905264924,-4.12425865389e-06,1.02432473111
73,2,theta0,128,3.17208333333,0.032965641113,-4.42481796233e-06,0.0329656414099,0.185763590414,2.47175031522,0.0105440170609,6.02548325879e-06,1.00598397129
73,2,theta0,129,3.19666666667,0.0331912698273,-4.01161524671e-06,0.0331912700697,0.186215002125,2.49634806206,0.00787363636759,1.78862586021e-05,0.99343238797
73,2,theta0,130,3.22125,0.0333615000781,-3.73762714195e-06,0.0333615002875,0.186581932063,2.52122806385,0.00589090079057,5.35181137285e-06,0.98314979168
73,2,theta0,131,3.24583333333,0.0334886500886,-3.67425752007e-06,0.0334886502902,0.18687867505,2.54633779251,0.00430059792361,1.16317431777e-06,0.975345031296
73,2,theta0,132,3.27041666667,0.0335811787838,-3.60510466327e-06,0.0335811789773,0.187108298747,2.57161715435,0.00308358961521,5.77430926676e-06,0.97000127144
73,2,theta0,133,3.295,0.0336476672792,-3.37413990005e-06,0.0336476674483,0.187283989356,2.59700703401,0.00218547963447,7.66109828839e-06,0.966550237609
73,2,theta0,134,3.31958333333,0.0336949805739,-3.24522093543e-06,0.0336949807302,0.187417495015,2.6224796126,0.00155344206585,2.98370257617e-06,0.963761244524
73,2,theta0,135,3.34416666667,0.0337280976708,-3.19548474161e-06,0.0337280978222,0.187516801094,2.64801569882,0.00106434695726,1.43446530965e-06,0.961747973292
73,2,theta0,136,3.36875,0.0337505949656,-3.14517349109e-06,0.0337505951121,0.187587468891,2.67359505495,0.000718687593035,3.02225746902e-06,0.960502530741
73,2,theta0,137,3.39333333333,0.0337658164508,-3.06091217478e-06,0.0337658165896,0.187637918086,2.69919970237,0.000484826558339,2.61497763357e-06,0.959734232473
73,2,theta0,138,3.41791666667,0.0337760776381,-3.01527707754e-06,0.0337760777727,0.187673963449,2.72482299178,0.000323358236976,1.10775285255e-06,0.959125941313
73,2,theta0,139,3.4425,0.0337827619189,-2.99590266157e-06,0.0337827620517,0.187698511337,2.75045991368,0.000205354533859,5.64467645253e-07,0.958713466023
73,2,theta0,140,3.46708333333,0.0337869798859,-2.97808493761e-06,0.0337869800172,0.187714566833,2.77610527435,0.000130845125181,9.85889338587e-07,0.958494463738
73,2,theta0,141,3.49166666667,0.0337896689779,-2.9559765987e-06,0.0337896691072,0.18772529135,2.80175503288,8.33901744364e-05,6.30230981144e-07,0.958356302099
73,2,theta0,142,3.51625,0.0337913751174,-2.94506211212e-06,0.0337913752457,0.187732426615,2.82740806146,5.13427854988e-05,2.59775067014e-07,0.958253090993
73,2,theta0,143,3.54083333333,0.0337923912874,-2.94064363504e-06,0.0337923914153,0.187736806534,2.85306332704,2.95907145458e-05,1.23752587609e-07,0.958189091474
73,2,theta0,144,3.56541666667,0.0337929801067,-2.93684400977e-06,0.0337929802343,0.187739415251,2.87871979568,1.78071395488e-05,1.90156423274e-07,0.958161905758
73,2,theta0,145,3.59,0.0337933346233,-2.93303417219e-06,0.0337933347506,0.187741049312,2.9043768407,1.05645892027e-05,9.95068462417e-08,0.958142147237
73,2,theta0,146,3.61458333333,0.0337935407928,-2.93145181176e-06,0.0337935409199,0.187742030785,2.93003432054,5.814696689e-06,3.12553411078e-08,0.95812925105
73,2,theta0,147,3.63916666667,0.0337936488291,-2.93104969035e-06,0.0337936489562,0.187742553917,2.95569205816,2.91502696931e-06,7.50703751818e-09,0.958122877908
73,2,theta0,148,3.66375,0.0337937052473,-2.93074162658e-06,0.0337937053744,0.187742832579,2.98134989024,1.64204683459e-06,1.52449033222e-08,0.958120686394
73,2,theta0,149,3.68833333333,0.0337937367299,-2.9304956013e-06,0.033793736857,0.187742992475,3.00700779818,8.78308969581e-07,3.83784599359e-09,0.958118042301
73,2,theta0,150,3.71291666667,0.0337937525265,-2.9305016924e-06,0.0337937526535,0.187743074059,3.03266575195,3.92711999006e-07,-3.34164216255e-09,0.958117112003
73,2,theta0,151,3.7375,0.0337937589195,-2.93061725316e-06,0.0337937590466,0.187743107163,3.05832371083,1.45314852569e-07,-4.69515045122e-09,0.958117659345
73,2,theta0,152,3.76208333333,0.0337937617428,-2.9307038889e-06,0.0337937618699,0.187743121955,3.08398164724,7.11414835894e-08,-2.81561988758e-09,0.958117019663
73,2,theta0,153,3.78666666667,0.033793762952,-2.93077661827e-06,0.0337937630791,0.187743128362,3.10963962403,2.62472640547e-08,-2.80726691103e-09,0.958116327216
73,2,theta0,154,3.81125,0.0337937632507,-2.93084557283e-06,0.0337937633778,0.18774312992,3.13529760663,1.7380699437e-10,-2.52137803254e-09,0.958116584964
73,2,theta0,155,3.83583333333,0.0337937631219,-2.9309036315e-06,0.033793763249,0.187743129173,3.16095556962,-7.07888673597e-09,-1.95795317444e-09,0.958117791901
73,2,theta0,156,3.86041666667,0.0337937629757,-2.93094566523e-06,0.0337937631028,0.187743128352,3.18661351925,-5.32777356523e-09,-1.38036250601e-09,0.958116753054
