severity,nx,requested_time_s,elapsed_time_s,z_cm,a_cm2,q_cm3_s,u_cm_s
23.0,100,0.01,0.00999999999999976,3.57,0.03241672219150865,-0.03809153553943051,-1.1750582095992523
23.0,100,0.01,0.00999999999999976,3.63,0.03242379501296661,-0.04593113620163575,-1.4165872990273782
23.0,100,0.01,0.00999999999999976,3.69,0.03242999017075512,-0.051588771697329804,-1.5907735841329915
23.0,100,0.01,0.00999999999999976,3.75,0.03243533140978929,-0.055197604263452466,-1.7017740181558096
23.0,100,0.01,0.00999999999999976,3.81,0.032439924909092255,-0.05696954833901963,-1.7561553702318287
23.0,100,0.01,0.00999999999999976,3.8699999999999997,0.03244386480774314,-0.057289376910226286,-1.7658000133372966
23.0,100,0.01,0.00999999999999976,3.9299999999999997,0.032446713561293423,-0.05585298842924622,-1.721375828209449
23.0,100,0.01,0.00999999999999976,3.9899999999999998,0.032448336984687826,-0.05293578385004763,-1.6313866524200518
23.0,100,0.01,0.00999999999999976,4.05,0.03244890491254419,-0.048792935811857056,-1.5036851303106549
23.0,100,0.01,0.00999999999999976,4.109999999999999,0.032448498927301596,-0.04378528956042197,-1.349377968408326
23.0,100,0.01,0.00999999999999976,4.17,0.03244555670427641,-0.036378407078276165,-1.121213835529023
23.0,100,0.01,0.00999999999999976,4.2299999999999995,0.03243855185797936,-0.025487364283231406,-0.7857121487672677
23.0,100,0.01,0.00999999999999976,4.29,0.03242847051428582,-0.012336385323511464,-0.3804183523881237
23.0,100,0.01,0.00999999999999976,4.35,0.032417304091209506,0.001220889657819465,0.03766166533726442
23.0,100,0.01,0.00999999999999976,4.41,0.032407226982003705,0.012367862075907949,0.3816390116555186
23.0,100,0.01,0.00999999999999976,4.47,0.032398536242620506,0.021373379363698708,0.6597020064005816
23.0,100,0.01,0.00999999999999976,4.53,0.032390992674483796,0.028096364176180482,0.8674128779731276
23.0,100,0.01,0.00999999999999976,4.59,0.032385072780216295,0.03312919726358119,1.0229773911090134
23.0,100,0.01,0.00999999999999976,4.6499999999999995,0.03238002180322007,0.03599261163264839,1.111568480447072
23.0,100,0.01,0.00999999999999976,4.71,0.03237636458675224,0.03774327013744058,1.1657661574791003
23.0,100,0.01,0.00999999999999976,4.77,0.03237320612089997,0.03806006432841944,1.1756655854931854
23.0,100,0.01,0.00999999999999976,4.83,0.03237101381533911,0.036953186680209554,1.1415517255965324
23.0,100,0.01,0.00999999999999976,4.89,0.03237000770806939,0.03472826376632371,1.0728531200709737
23.0,100,0.01,0.00999999999999976,4.95,0.03236980170487905,0.03161262581753385,0.9766085719570204
23.0,100,0.01,0.00999999999999976,5.01,0.03237024023079051,0.027774174060686066,0.8580156916557982
23.0,100,0.01,0.00999999999999976,5.069999999999999,0.03237238227806797,0.022271096483395352,0.6879659424534796
23.0,100,0.01,0.00999999999999976,5.13,0.03237683689781917,0.014738787983662878,0.4552263097898748
23.0,100,0.01,0.00999999999999976,5.1899999999999995,0.032381692850219496,0.007116430023075111,0.21976707814480037
23.0,100,0.01,0.00999999999999976,5.25,0.03238614930572148,0.0004892176416241447,0.015105767499741544
23.0,100,0.01,0.00999999999999976,5.31,0.03239006524500237,-0.005438434085534832,-0.16790438810165584
23.0,100,0.01,0.00999999999999976,5.37,0.03239371561840708,-0.01042811923606875,-0.32191797195821464
23.0,100,0.01,0.00999999999999976,5.43,0.032396504445108665,-0.015090665048007344,-0.46581152215284094
23.0,100,0.01,0.00999999999999976,5.49,0.03239909690624721,-0.01874076977191055,-0.5784349429905543
23.0,100,0.01,0.00999999999999976,5.55,0.032400719557872416,-0.02220325550183701,-0.68527044475598
23.0,100,0.01,0.00999999999999976,5.609999999999999,0.03240208122611012,-0.024830660083770616,-0.7663291722064343
