case_label,severity,model,nx,dt_s,initial_condition,backend,run_status,half_width_cm,z_cm,mean_u3d_cm_s,mean_u1d_cm_s,abs_velocity_discrepancy_cm_s,relative_discrepancy,node_count,observed_radius_cm,xdmf_time_s,time_offset_s,target_time_s,time_atol_s,one_d_completed_time_s,one_d_terminal_time_error_s,xdmf_target_time_error_s,cross_model_time_offset_s
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.9597989949748744,26.148603472300984,22.42537241309225,3.7232310592087323,0.14238737694549242,38,0.17993161800744367,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.9899497487437185,24.377127588245905,22.291257653742015,2.08586993450389,0.08556668241379058,33,0.1798720631541351,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,2.020100502512563,9.739027253637143,22.068561361880484,12.32953410824334,1.2659923611609922,61,0.1784538749433708,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,2.050251256281407,9.905603682708676,22.02061884258554,12.115015159876865,1.2230466257220607,55,0.17601862002349897,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,2.080402010050251,9.832192967532228,22.612009652509144,12.779816684976916,1.2997931109751715,57,0.1739697248862024,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,2.1105527638190953,32.85940356482872,24.29517113982613,8.564232425002587,0.26063261946024396,19,0.14094097384462084,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,2.14070351758794,26.33539291039404,26.75434561818112,0.4189527077870778,0.01590835227758177,26,0.16443863026263875,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,2.170854271356784,14.614522951063119,28.74410433084259,14.12958137977947,0.9668178309406691,52,0.15713779939220357,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,2.201005025125628,16.98527851253527,30.740613243457037,13.755334730921767,0.8098386329532495,57,0.15182711849026365,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,2.2311557788944723,19.828243887995896,32.83765456364407,13.009410675648176,0.6561050362873603,44,0.14918735824480045,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,2.2613065326633164,38.75764068535808,34.66837020147092,4.089270483887162,0.10550875676578561,27,0.1451216265542239,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,2.291457286432161,43.831990687373285,36.05363585685267,7.7783548305206125,0.17745839758907708,23,0.11078044301955343,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,2.321608040201005,16.111202226396713,36.97261065392651,20.861408427529796,1.2948387174577394,49,0.14078587318783975,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
