z u1d77 u3d77 err77 u1d60 u3d60 err60
4.251256281 22.47273982 16.95344344 5.51929638 22.47273978 16.91567323 5.55706655
4.281407035 22.47313046 16.19472068 6.27840978 22.47313042 17.4067269 5.066403519
4.311557789 22.47352113 13.01083718 9.462683947 22.47352108 12.78825407 9.685267014
4.341708543 22.47391182 16.99574463 5.478167194 22.47391177 18.11952765 4.354384129
4.371859296 22.47430254 17.03989486 5.434407677 22.47430249 17.32866017 5.145642315
4.40201005 22.47469327 17.7264691 4.748224169 22.47469323 16.79457637 5.680116857
4.432160804 22.47508404 17.28586496 5.189219074 22.47508399 16.10824977 6.366834221
4.462311558 22.47547482 11.55020935 10.92526547 22.47547477 13.30601213 9.169462645
4.492462312 22.47586563 16.9823544 5.493511228 22.47586558 17.61141629 4.864449293
4.522613065 22.47625646 17.03202994 5.444226524 22.47625642 16.73216667 5.744089742
4.552763819 22.47664732 17.289102 5.187545321 22.47664727 17.45373133 5.022915947
4.582914573 22.4770382 17.96403305 4.513005154 22.47703815 18.75233165 3.724706508
4.613065327 22.47742911 13.0252511 9.452178001 22.47742906 13.16920684 9.308222217
4.64321608 22.47782003 17.77379904 4.704020995 22.47781999 17.25008696 5.227733021
4.673366834 22.47821099 16.70103224 5.777178742 22.47821094 17.38302835 5.095182591
4.703517588 22.47860196 17.59024806 4.888353898 22.47860191 17.29557632 5.183025599
4.733668342 22.47899296 17.600515 4.878477963 22.47899291 16.07747682 6.401516093
4.763819095 22.47938398 12.89784973 9.581534255 22.47938394 13.57706516 8.902318777
4.793969849 22.47977503 16.31634767 6.163427361 22.47977498 17.11131736 5.368457629
4.824120603 22.4801661 17.64472963 4.83543647 22.48016606 16.58584456 5.894321496
4.854271357 22.4805572 17.34249215 5.138065053 22.48055715 17.0830173 5.397539849
4.884422111 22.48094832 16.7347994 5.746148918 22.48094827 17.52091127 4.960036998
4.914572864 22.48133946 12.3870652 10.09427426 22.48133941 12.89449967 9.586839742
4.944723618 22.48173063 16.65950123 5.822229398 22.48173058 16.67442536 5.807305223
4.974874372 22.48212182 18.20961759 4.27250423 22.48212177 18.27525708 4.206864685
5.005025126 22.48251303 16.93492652 5.547586513 22.48251298 16.47836039 6.00415259
5.035175879 22.48290427 13.8774079 8.605496365 22.48290422 13.45812947 9.024774749
5.065326633 22.48329553 15.15153174 7.331763788 22.48329548 16.61687619 5.866419294
5.095477387 22.48368682 17.40786553 5.075821285 22.48368677 16.31656546 6.167121309
5.125628141 22.48407813 16.75583412 5.728244007 22.48407808 17.12959164 5.35448644
5.155778894 22.48446946 17.09091124 5.39355822 22.48446941 17.56950637 4.914963036
5.185929648 22.48486082 12.2641763 10.22068451 22.48486077 11.52049055 10.96437021
5.216080402 22.4852522 16.93728876 5.547963437 22.48525215 17.1483145 5.336937651
5.246231156 22.4856436 17.65639589 4.829247714 22.48564355 17.84588998 4.639753571
5.27638191 22.48603503 17.33862806 5.14740697 22.48603498 17.17066378 5.315371204
5.306532663 22.48642648 16.3076557 6.178770782 22.48642644 17.95306824 4.533358191
5.336683417 22.48681796 12.06852637 10.41829158 22.48681791 12.88013375 9.606684163
5.366834171 22.48720946 17.68507854 4.802130916 22.48720941 16.76634515 5.720864264
5.396984925 22.48760098 17.3167565 5.170844482 22.48760094 16.82954736 5.658053576
5.427135678 22.48799253 16.16607984 6.321912689 22.48799248 17.18434252 5.303649967
5.457286432 22.4883841 17.99644008 4.491944022 22.48838406 16.90429067 5.584093391
5.487437186 22.4887757 12.01304398 10.47573172 22.48877565 12.71879434 9.769981309
5.51758794 22.48916732 17.72873191 4.760435406 22.48916727 17.40874758 5.080419687
5.547738693 22.48955896 16.52697931 5.962579655 22.48955892 17.32262816 5.16693076
5.577889447 22.48995063 17.16850753 5.321443103 22.48995058 18.0698162 4.420134379
5.608040201 22.49034232 17.07806818 5.412274137 22.49034227 16.36684625 6.12349602
5.638190955 22.49073404 12.38145905 10.10927498 22.49073399 13.13063373 9.360100261
5.668341709 22.49112578 18.16701961 4.324106168 22.49112573 16.80301417 5.688111559
5.698492462 22.49151754 17.64238043 4.849137109 22.49151749 17.48313107 5.008386421
5.728643216 22.49190933 17.20376939 5.288139936 22.49190928 16.99346168 5.498447597
5.75879397 22.49230114 16.21603997 6.276261167 22.49230109 17.39962773 5.092673354
5.788944724 22.49269297 12.31086428 10.18182869 22.49269292 12.29869402 10.1939989
5.819095477 22.49308483 17.51530376 4.977781065 22.49308478 16.81645865 5.676626135
5.849246231 22.49347671 17.3446444 5.148832307 22.49347666 16.58823839 5.905238277
5.879396985 22.49386862 17.34827665 5.145591967 22.49386857 16.55437748 5.939491088
5.909547739 22.49426055 16.46204022 6.03222033 22.4942605 16.91368438 5.580576116
5.939698492 22.4946525 12.16498018 10.32967232 22.49465246 12.16840327 10.32624919
5.969849246 22.49504448 16.69481445 5.800230031 22.49504443 16.63380516 5.861239277
6 22.49533897 18.82202606 3.673312907 22.49533892 18.39868915 4.096649771
