severity,nx,dx,elapsed_time_s,requested_time_s,terminal_time_error_s,max_abs_q,max_abs_q_z,max_abs_area_drift,solver_volume_defect,physical_volume_defect,requested_q_in,applied_q_in,inlet_area_flux,outlet_area_flux,boundary_flux_integral,conservation_residual,inlet_cell_q,outlet_cell_q,mean_q,rms_q,lh_area_interior_max_abs,lh_area_boundary_max_abs,lh_flow_interior_max_abs,lh_flow_boundary_max_abs,realized_cfl_max,lambda_minus_min,lambda_plus_max,subcritical_margin_min,positivity_projection_count,positivity_correction_total,status,error_message
40.0,100,0.06,0.001,0.001,0.0,0.8533813901376862,2.07,0.0002940481166500142,5.617728504603292e-14,1.7648614599923677e-13,0.0,0.0,-1.4638085934159625e-10,0.0,-5.617728504603292e-14,0.0,1.2049334880399676e-8,0.0,0.0053245853446574985,0.19667758537621755,7.102665926706836,1.8432152591346534e-9,8564.372226796637,1.8953263255146644e-6,0.17397810259143953,-1043.868615548838,1038.5229556456798,777.3041725380157,0,0.0,ok,
40.0,100,0.06,0.009999999999999759,0.01,2.411265631607762e-16,0.7524740243172356,2.07,0.0004001162389893377,-0.00019398402585901753,-0.000609418790552462,0.0,0.0,-1.3568666742921388e-10,-0.11783048211795692,0.00019398402585901753,0.0,2.7701244139843055e-5,-0.11670181331988995,-0.014821119225965232,0.1445855683878387,7.102665926706836,1.8432152591346534e-9,8564.372226796637,1.8953263255146644e-6,0.1741852289966237,-1043.868615548838,1045.111373979742,777.3041725380157,0,0.0,ok,
40.0,100,0.06,0.09999999999999391,0.1,6.0923488476305465e-15,0.7663654330863711,2.07,0.00038116276598651466,-9.339748522504965e-5,-0.00029341685344677724,0.0,0.0,-5.978041318124286e-10,0.014845502607647394,9.339748522504965e-5,0.0,0.00022394358874796324,0.015797074975462056,-0.009779599549608893,0.13983192412287138,7.102665926706836,1.8432152591346534e-9,8564.372226796637,1.8953263255146644e-6,0.1741852289966237,-1044.0898953606934,1045.111373979742,776.2934329603482,0,0.0,ok,
40.0,100,0.06,1.0,1.0,0.0,0.7684161872228796,2.07,0.0003958035034260822,-8.853191257804371e-5,-0.0002781312061634359,0.0,0.0,4.217306263023836e-11,2.4499860293590703e-5,8.853191257804371e-5,0.0,1.2691345942005573e-6,2.5420381070844748e-5,-0.014096733590923904,0.13989905385393628,7.102665926706836,1.8432152591346534e-9,8564.372226796637,1.8953263255146644e-6,0.1741852289966237,-1044.0898953606934,1045.111373979742,776.2934329603482,0,0.0,ok,
40.0,200,0.03,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,1.105929155480792e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.962190701675408,3.686430518269307e-9,3816.6621772403014,3.7906526510293288e-6,NaN,NaN,NaN,NaN,0,0.0,ok,
40.0,200,0.03,0.001,0.001,0.0,0.2703512998358635,2.085,7.837918273968444e-5,6.747380432159389e-14,2.119752079664746e-13,0.0,0.0,-1.4324188960286902e-10,0.0,-6.747380432159389e-14,0.0,9.229133753259574e-11,0.0,0.0007073983458967107,0.05262833500496529,2.962190701675408,3.686430518269307e-9,3816.6621772403014,3.7906526510293288e-6,0.3436744557239712,-1030.3154827610654,1031.0233671719134,791.5987988266401,0,0.0,ok,
40.0,200,0.03,0.009999999999999759,0.01,2.411265631607762e-16,0.2432940042356926,2.085,8.978477271141816e-5,-1.1843639401709627e-6,-3.7207890536177577e-6,0.0,0.0,1.5636557821501525e-8,-0.038153128540404035,1.1843639401709627e-6,0.0,-0.0007784547445647727,-0.038342126037086026,-0.007314378252880198,0.039697664853104234,2.962190701675408,3.686430518269307e-9,3816.6621772403014,3.7906526510293288e-6,0.3447179082686942,-1031.5067180070164,1034.1537248060824,791.1542865421037,0,0.0,ok,
40.0,200,0.03,0.09999999999999391,0.1,6.0923488476305465e-15,0.24206014570142834,2.085,7.754985777598186e-5,-1.2040018470799163e-5,-3.7824833576948063e-5,0.0,0.0,-7.413277929756634e-10,0.007515464994988067,1.2040018470799163e-5,0.0,0.00021365334280727783,0.007965938105376586,-0.002596723318141187,0.035768413197701056,2.962190701675408,3.686430518269307e-9,3816.6621772403014,3.7906526510293288e-6,0.3447179082686942,-1031.5977179450656,1034.1537248060824,791.1542865421037,0,0.0,ok,
40.0,200,0.03,1.0,1.0,0.0,0.24345653556674898,2.085,7.636610488801279e-5,1.043305624559565e-6,3.2776412855652407e-6,0.0,0.0,8.091118675478435e-11,2.6225371104148656e-5,-1.043305624559565e-6,0.0,6.719322609581926e-7,2.6715390048980315e-5,-0.0038032027691320257,0.03627217187950882,2.962190701675408,3.686430518269307e-9,3816.6621772403014,3.7906526510293288e-6,0.3447179082686942,-1031.5977179450656,1034.1537248060824,791.1542865421037,0,0.0,ok,
40.0,400,0.015,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,1.105929155480792e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2344358256460444,7.372861036538614e-9,1437.2379632242373,7.5813053020586576e-6,NaN,NaN,NaN,NaN,0,0.0,ok,
